opportunity,leg,time_ms,price,atr5m,confirm,invalidated,stop_composed,rr,kind,actual_guard,corrected_guard,status,bar_open_ms
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452160000,29519,33.3138571177012,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788452100000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452220000,29515.75,33.510285689129766,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788452160000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452280000,29519.5,33.510285689129766,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788452220000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452340000,29516.5,33.510285689129766,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788452280000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452400000,29524,33.93885711770077,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788452340000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452460000,29519.5,32.46108160929357,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788452400000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452520000,29516.5,32.46108160929357,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788452460000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452580000,29508,32.99679589500786,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788452520000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452640000,29512,32.99679589500786,false,false,29414,2.0648769574944406,limit,outside_band,outside_band,waiting_confirm,1788452580000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452700000,29501.5,33.461081609293906,false,false,29414,2.0648769574944406,limit,send_limit,send_limit,waiting_confirm,1788452640000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452760000,29496.5,31.624575780058628,false,false,29414,2.0648769574944406,limit,send_limit,send_limit,waiting_confirm,1788452700000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S2,0,1788452820000,29491.5,32.08886149434434,false,false,29414,2.0648769574944406,limit,send_limit,send_limit,waiting_confirm,1788452760000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788450600000,29513.5,41.57020548494578,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788450540000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788450660000,29515.5,39.10090509316394,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788450600000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788450720000,29523,39.77947652173537,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788450660000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788450780000,29526.75,40.31519080744965,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788450720000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788450840000,29520.25,40.31519080744965,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788450780000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788450900000,29528,40.31519080744979,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788450840000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788450960000,29527.75,37.971248606917655,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788450900000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451020000,29525.75,38.18553432120337,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788450960000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451080000,29529.75,38.43553432120337,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788451020000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451140000,29531.5,38.43553432120337,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788451080000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451200000,29538.25,38.774820035488894,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788451140000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451260000,29529.5,36.969475747239684,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788451200000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451320000,29527.75,37.0587614615254,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788451260000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451380000,29529.25,37.14804717581111,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788451320000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451440000,29529.5,37.219475747239684,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788451380000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451500000,29512.5,37.93376146152578,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788451440000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451560000,29513,35.79563564284537,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788451500000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451620000,29506.5,36.313492785702515,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788451560000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451680000,29506.5,36.313492785702515,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788451620000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451740000,29509,36.313492785702515,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788451680000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451800000,29510.25,36.3492070714165,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788451740000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451860000,29519.25,34.69926370917246,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788451800000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451920000,29507.5,34.806406566315324,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788451860000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788451980000,29508.5,34.94926370917246,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788451920000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452040000,29510.25,34.94926370917246,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788451980000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452100000,29519.25,35.14569228060129,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788452040000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452160000,29519,33.3138571177012,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788452100000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452220000,29515.75,33.510285689129766,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788452160000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452280000,29519.5,33.510285689129766,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788452220000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452340000,29516.5,33.510285689129766,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788452280000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452400000,29524,33.93885711770077,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788452340000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452460000,29519.5,32.46108160929357,false,false,29620,2.3475409836065575,limit,send_limit,send_limit,waiting_confirm,1788452400000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452520000,29516.5,32.46108160929357,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788452460000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452580000,29508,32.99679589500786,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788452520000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452640000,29512,32.99679589500786,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788452580000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452700000,29501.5,33.461081609293906,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788452640000
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v6/S3,0,1788452760000,29496.5,31.624575780058628,false,false,29620,2.3475409836065575,limit,outside_band,outside_band,waiting_confirm,1788452700000
