opportunity,checkpoints,statuses,pass_local_count,first_pass_ct,actual_send_checkpoints,corrected_send_checkpoints,guard_values,first_actual_send_ct,fills,pnl_points
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v8/S3,33,"{""waiting_confirm"": 1, ""rr_refused"": 31, ""recorded_dormant_requires_fresh_authorization"": 1}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v10/S1,28,"{""waiting_confirm"": 28}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v11/S1,18,"{""waiting_confirm"": 18}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v12/S1,23,"{""waiting_confirm"": 23}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v12/S2,23,"{""waiting_confirm"": 23}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v13/S1,116,"{""waiting_confirm"": 1, ""passes_known_local_checks"": 1, ""invalidation_refused"": 21, ""recorded_dormant_requires_fresh_authorization"": 93}",1,2026-09-02T22:14:00-05:00,0,0,cancel_marketable,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v14/S1,26,"{""waiting_confirm"": 26}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-02:ASIA:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v14/S4,26,"{""waiting_confirm"": 26}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-03:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v1/S1,16,"{""waiting_confirm"": 1, ""rr_refused"": 15}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
2026-09-03:LONDON:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265/v2/S1,14,"{""waiting_confirm"": 3, ""rr_refused"": 11}",0,,0,0,,,UNMEASURABLE,UNMEASURABLE
