source,line,text
/home/hoang/nofx/data/nofx_2026-09-02.log,16807,"09-02 07:49:06 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ⏳ skipping decision cycle #1 — no balance frame yet (equity 0, waiting for the NT8 AddOn)"
/home/hoang/nofx/data/nofx_2026-09-02.log,16933,09-02 07:51:06 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🔌 dead-man watchdog: NT8 TCP link back UP — sweeping unfilled entries; entries stay BLOCKED until a clean positions/orders reconciliation.
/home/hoang/nofx/data/nofx_2026-09-02.log,17006,09-02 07:51:38 [INFO] ninjatrader/close_sync.go:206 ⏳ re-entry cooldown armed: MNQ LONG stop=29050.00 (owner=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265)
/home/hoang/nofx/data/nofx_2026-09-02.log,17027,09-02 07:51:48 [INFO] trader/auto_trader.go:43 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ✅ dead-man watchdog: clean positions/orders reconciliation — NEW entries RESUMED.
/home/hoang/nofx/data/nofx_2026-09-02.log,18946,09-02 08:10:30 [INFO] rpclone/main.go:240 🔐 BOOT INTEGRITY OK — rev 0465a10bfa4b · built 2026-09-02T12:58:10Z · expected 0465a10bfa4b · goldens PASS
/home/hoang/nofx/data/nofx_2026-09-02.log,18980,"09-02 08:10:31 [INFO] kernel/levels_volume_boot.go:26 🪢 netting-orphan wave (class 27, 2026-08-31): netting-flat cancels brackets (C# sweep + Go desync cancel_order) · exit reconstruction from the netting fill (never exit=entry; unknown → UNRESOLVED+alarm) · dedupe 577/578 class · one-live-arm guard (opposite-side refused while open; kind=exit escapes) · split legs > capacity rejected (capacity=1 unless max_contracts_per_order raises)"
/home/hoang/nofx/data/nofx_2026-09-02.log,19025,09-02 08:10:31 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🚨 dead-man watchdog: NT8 TCP link DOWN — NEW entries BLOCKED until a clean reconciliation. Open positions & exits are unaffected.
/home/hoang/nofx/data/nofx_2026-09-02.log,19043,"09-02 08:10:31 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ⏳ skipping decision cycle #1 — no balance frame yet (equity 0, waiting for the NT8 AddOn)"
/home/hoang/nofx/data/nofx_2026-09-02.log,19167,09-02 08:12:30 [WARN] trader/auto_trader.go:48 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 🔌 dead-man watchdog: NT8 TCP link back UP — sweeping unfilled entries; entries stay BLOCKED until a clean positions/orders reconciliation.
/home/hoang/nofx/data/nofx_2026-09-02.log,19365,09-02 08:15:01 [INFO] trader/auto_trader.go:43 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] ✅ dead-man watchdog: clean positions/orders reconciliation — NEW entries RESUMED.
/home/hoang/nofx/data/nofx_2026-09-02.log,20727,09-02 08:36:05 [WARN] kernel/engine_position.go:229 🛑 MIN-SL REJECT MNQ open_long: sl_too_tight: 40.2 < 1.5×ATR (27.3) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,20728,09-02 08:36:05 [WARN] kernel/engine_analysis.go:695 ⚠️ AI response parse failed (attempt 1/3) — retrying with the error fed back: decision validation failed: decision #1 validation failed: sl_too_tight: 40.2 < 1.5×ATR (27.3) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,21037,"09-02 08:40:30 [INFO] trader/auto_trader.go:43 [trader_id=8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265 trader_name=hoang] 😴 plan 2026-09-02 NY v1 DORMANT — flip-condition: 5m_close close above 29058.75 (buffer 0.5×ATR14, 6× 5m closes) → bias long (entries blocked; auto re-arms when price closes back; replan budget untouched)"
/home/hoang/nofx/data/nofx_2026-09-02.log,24254,09-02 09:27:13 [WARN] kernel/engine_position.go:229 🛑 MIN-SL REJECT MNQ open_long: sl_too_tight: 34.8 < 1.5×ATR (37.4) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,24255,09-02 09:27:13 [WARN] kernel/engine_analysis.go:695 ⚠️ AI response parse failed (attempt 1/3) — retrying with the error fed back: decision validation failed: decision #1 validation failed: sl_too_tight: 34.8 < 1.5×ATR (37.4) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,24684,09-02 09:33:16 [WARN] kernel/engine_position.go:229 🛑 MIN-SL REJECT MNQ open_long: sl_too_tight: 26.5 < 1.5×ATR (37.1) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,24685,09-02 09:33:16 [WARN] kernel/engine_analysis.go:695 ⚠️ AI response parse failed (attempt 1/3) — retrying with the error fed back: decision validation failed: decision #1 validation failed: sl_too_tight: 26.5 < 1.5×ATR (37.1) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,24889,09-02 09:40:09 [WARN] kernel/engine_position.go:229 🛑 MIN-SL REJECT MNQ open_long: sl_too_tight: 22.0 < 1.5×ATR (37.0) — widen or skip
/home/hoang/nofx/data/nofx_2026-09-02.log,24890,09-02 09:40:09 [WARN] kernel/engine_analysis.go:695 ⚠️ AI response parse failed (attempt 1/3) — retrying with the error fed back: decision validation failed: decision #1 validation failed: sl_too_tight: 22.0 < 1.5×ATR (37.0) — widen or skip
