rowid,symbol,tf,open_time_ms,o,h,l,c,v,convention
434863,MNQ,1m,1788329700000,29049.25,29053.0,29046.0,29047.25,481.0,epoch_floor
434864,MNQ,1m,1788329760000,29047.5,29048.25,29035.75,29038.75,1105.0,epoch_floor
434865,MNQ,1m,1788329820000,29038.0,29038.5,29027.25,29030.75,1434.0,epoch_floor
434866,MNQ,1m,1788329880000,29030.75,29030.75,29025.0,29028.5,965.0,epoch_floor
434867,MNQ,1m,1788329940000,29028.25,29029.75,29026.0,29028.0,327.0,epoch_floor
434868,MNQ,1m,1788330000000,29027.5,29028.75,29025.25,29027.5,600.0,epoch_floor
434869,MNQ,1m,1788330060000,29027.5,29029.75,29025.5,29028.5,407.0,epoch_floor
434870,MNQ,1m,1788330120000,29028.75,29031.5,29025.0,29026.0,665.0,epoch_floor
434871,MNQ,1m,1788330180000,29026.0,29030.25,29025.75,29029.5,318.0,epoch_floor
434872,MNQ,1m,1788330240000,29029.0,29035.75,29028.5,29035.0,890.0,epoch_floor
434873,MNQ,1m,1788330300000,29035.5,29049.0,29033.5,29048.75,1179.0,epoch_floor
434874,MNQ,1m,1788330360000,29048.0,29055.0,29044.25,29053.75,1134.0,epoch_floor
434875,MNQ,1m,1788330420000,29054.25,29055.0,29039.25,29042.5,1096.0,epoch_floor
434876,MNQ,1m,1788330480000,29042.25,29044.75,29036.5,29036.5,651.0,epoch_floor
434877,MNQ,1m,1788330540000,29037.0,29043.25,29021.25,29022.5,1625.0,epoch_floor
434878,MNQ,1m,1788330600000,29023.25,29027.75,29021.5,29024.75,1266.0,epoch_floor
434879,MNQ,1m,1788330660000,29025.0,29027.5,29018.25,29020.25,1020.0,epoch_floor
434880,MNQ,1m,1788330720000,29020.25,29032.25,29019.75,29030.5,749.0,epoch_floor
434881,MNQ,1m,1788330780000,29030.25,29031.25,29016.5,29017.0,749.0,epoch_floor
434882,MNQ,1m,1788330840000,29017.25,29032.5,29016.5,29032.25,846.0,epoch_floor
434883,MNQ,1m,1788330900000,29032.0,29044.5,29028.75,29041.5,1270.0,epoch_floor
434884,MNQ,1m,1788330960000,29041.0,29046.5,29034.75,29035.75,882.0,epoch_floor
434885,MNQ,1m,1788331020000,29036.0,29039.0,29028.25,29033.5,866.0,epoch_floor
434886,MNQ,1m,1788331080000,29033.75,29039.5,29032.75,29038.25,628.0,epoch_floor
434887,MNQ,1m,1788331140000,29038.0,29074.75,29036.5,29074.25,2657.0,epoch_floor
434888,MNQ,1m,1788331200000,29074.0,29079.25,29069.75,29074.5,1506.0,epoch_floor
434889,MNQ,1m,1788331260000,29075.0,29087.25,29074.5,29086.0,1474.0,epoch_floor
434890,MNQ,1m,1788331320000,29085.25,29093.75,29082.75,29090.5,1273.0,epoch_floor
434891,MNQ,1m,1788331380000,29090.5,29098.75,29084.0,29088.5,1383.0,epoch_floor
434892,MNQ,1m,1788331440000,29088.5,29091.25,29072.5,29072.5,1191.0,epoch_floor
434893,MNQ,1m,1788331500000,29072.25,29074.0,29064.5,29068.5,1241.0,epoch_floor
434894,MNQ,1m,1788331560000,29068.25,29071.0,29061.5,29065.0,720.0,epoch_floor
434895,MNQ,1m,1788331620000,29065.0,29073.5,29063.5,29070.0,780.0,epoch_floor
434896,MNQ,1m,1788331680000,29069.75,29072.5,29064.25,29068.0,627.0,epoch_floor
434897,MNQ,1m,1788331740000,29068.0,29071.25,29064.0,29066.25,614.0,epoch_floor
434898,MNQ,1m,1788331800000,29065.5,29066.0,29059.75,29061.0,591.0,epoch_floor
