position_id,leg,price,method,fill_id,trade_id,time_used_ms,bar_id,bar_open_time_ms,bar_low,bar_high,inside,adverse_extreme,favorable_extreme
560,entry,29263.0,trader_fills,395,<nil>-1787683989347476932,1787683989347,427341,1787683980000,29259.25,29267.5,True,False,False
560,exit,29222.5,fill_price_side_nearest_time,396,nt8-exit-560,1787686216895,427378,1787686200000,29217.75,29226.75,True,False,False
561,entry,29221.25,trader_fills,397,<nil>-1787703104201607132,1787703104201,427599,1787703060000,29218.25,29228.0,True,False,False
561,exit,29195.25,fill_price_side_nearest_time,398,nt8-exit-561,1787703939651,427613,1787703900000,29191.25,29205.75,True,False,False
562,entry,29212.0,trader_fills,399,<nil>-1787728926640471647,1787728926640,428030,1787728920000,29210.25,29216.0,True,False,False
562,exit,29261.25,fill_price_side_nearest_time,400,nt8-exit-562,1787742109269,428249,1787742060000,29247.5,29264.75,True,False,False
563,entry,29244.0,trader_fills,401,<nil>-1787742765380969170,1787742765380,428260,1787742720000,29243.0,29252.0,True,False,False
563,exit,29219.25,fill_price_side_nearest_time,402,nt8-exit-563,1787744284225,428286,1787744280000,29201.75,29221.0,True,False,False
564,entry,29585.25,trader_fills,403,<nil>-1787822385605693354,1787822385605,429527,1787822340000,29573.75,29590.25,True,False,False
564,exit,29619.75,fill_price_side_nearest_time,404,nt8-exit-564,1787823144273,429540,1787823120000,29611.0,29622.0,True,False,False
565,entry,29580.0,trader_fills,405,<nil>-1787827992772887406,1787827992772,429621,1787827980000,29577.25,29590.0,True,False,False
565,exit,29611.25,fill_price_side_nearest_time,406,nt8-exit-565,1787828737791,429633,1787828700000,29604.0,29615.75,True,False,False
567,entry,29621.0,"entry_time(materialized,late)",,,1787898124014,430730,1787898120000,29615.0,29621.75,True,False,False
567,exit,29642.0,fill_price_side_nearest_time,408,nt8-exit-567,1787900267898,430765,1787900220000,29635.25,29642.5,True,False,False
568,entry,29642.0,nt8_log:888bcd99,,,1787919516835,431086,1787919480000,29632.5,29645.75,True,False,False
568,exit,29658.0,fill_price_side_nearest_time,409,nt8-exit-568,1787919782166,431091,1787919780000,29651.25,29659.0,True,False,False
569,entry,29700.0,"entry_time(materialized,late)",,,1787924668684,431172,1787924640000,29676.5,29696.5,False,False,False
569,exit,29668.5,fill_price_side_nearest_time,410,nt8-exit-569,1787924728951,431173,1787924700000,29660.5,29696.0,True,False,False
570,entry,29463.25,nt8_log:54ece976,,,1787936941720,431377,1787936940000,29450.0,29467.5,True,False,False
570,exit,29471.75,fill_price_side_nearest_time,411,nt8-exit-570,1787942914951,431476,1787942880000,29466.25,29482.25,True,False,False
575,entry,29437.0,nt8_log:0aa6032e,,,1788188263729,432625,1788188220000,29425.25,29443.5,True,False,False
575,exit,29420.75,fill_price_side_nearest_time,415,nt8-exit-575,1788189328351,432643,1788189300000,29413.25,29427.5,True,False,False
578,entry,29413.0,nt8_log:f0bbe9af,,,1788197121664,432773,1788197100000,29404.25,29420.0,True,False,False
578,exit,29459.0,position_exit_time,,,1788199848747,432818,1788199800000,29450.75,29456.25,False,False,False
581,entry,29466.0,trader_fills,417,<nil>-1788249164038725661,1788249164038,433580,1788249120000,29461.25,29470.0,True,False,False
581,exit,29370.75,fill_price_side_nearest_time,418,nt8-exit-581,1788249993712,433594,1788249960000,29355.75,29419.25,True,False,False
582,entry,29246.75,nt8_log:0c77307d,,,1788258197557,433731,1788258180000,29243.25,29248.25,True,False,False
582,exit,29182.0,fill_price_side_nearest_time,419,nt8-exit-582,1788260734279,433773,1788260700000,29177.5,29204.0,True,False,False
583,entry,29213.25,trader_fills,420,<nil>-1788262504776242143,1788262504776,433803,1788262500000,29210.0,29218.75,True,False,False
583,exit,29172.0,fill_price_side_nearest_time,421,nt8-exit-583,1788263807259,433824,1788263760000,29170.0,29194.25,True,False,False
584,entry,29138.0,nt8_log:6b5b89c6,,,1788269725808,433923,1788269700000,29093.75,29140.5,True,False,False
584,exit,29085.0,fill_price_side_nearest_time,422,nt8-exit-584,1788269899464,433926,1788269880000,29065.0,29114.25,True,False,False
585,entry,29182.0,nt8_log:18a7cc55,,,1788273040623,433978,1788273000000,29162.5,29188.0,True,False,False
585,exit,29220.75,fill_price_side_nearest_time,423,nt8-exit-585,1788273640760,433988,1788273600000,29204.5,29220.75,True,True,False
586,entry,29082.75,nt8_log:d5fed440,,,1788287499245,434219,1788287460000,29082.5,29090.75,True,False,False
586,exit,29055.75,fill_price_side_nearest_time,424,nt8-exit-586,1788288074189,434229,1788288060000,29042.75,29061.0,True,False,False
587,entry,29079.25,trader_fills,425,<nil>-1788326264538590981,1788326264538,434805,1788326220000,29069.0,29083.75,True,False,False
587,exit,29048.0,fill_price_side_nearest_time,426,nt8-exit-587,1788329021861,434851,1788328980000,29046.25,29055.75,True,False,False
588,entry,29082.5,trader_fills,427,<nil>-1788352865663585523,1788352865663,435249,1788352860000,29076.75,29083.25,True,False,False
588,exit,29050.0,fill_price_side_nearest_time,428,nt8-exit-588,1788353498565,435259,1788353460000,29048.0,29058.5,True,False,False
589,entry,29192.5,trader_fills,429,<nil>-1788360064832742774,1788360064832,435369,1788360060000,29178.75,29197.5,True,False,False
589,exit,29115.0,fill_price_side_nearest_time,430,nt8-exit-589,1788361167398,435387,1788361140000,29111.25,29121.75,True,False,False
590,entry,29193.25,trader_fills,431,<nil>-1788363437167069135,1788363437167,435425,1788363420000,29191.25,29200.0,True,False,False
590,exit,29143.75,fill_price_side_nearest_time,432,nt8-exit-590,1788364170319,435437,1788364140000,29141.0,29154.75,True,False,False
591,entry,29285.0,nt8_log:f2b1eb20,,,1788444233694,440215,1788444180000,29263.75,29291.75,True,False,False
591,exit,29355.0,fill_price_side_nearest_time,433,nt8-exit-591,1788445245677,440271,1788445200000,29342.25,29360.0,True,False,False
