dimension,cell,n,W,L,F,sum_usd,mean_usd,mean_normal95_lo,mean_normal95_hi,win_decided,win_rate,wilson_lo,wilson_hi,R_n,R_mean,R_p50,hold_p25,hold_p50,hold_p75,days,verdict,ids,R_ids
cme_day,2026-08-31,6,3,3,0,212.0,35.333333333333336,-61.042302407472256,131.70896907413893,6,0.5,0.1876128068994087,0.8123871931005913,4,0.6687500000000001,0.6041666666666667,8.482470833333334,11.686541666666667,19.738,1,NO VERDICT: n<30,"581,582,583,584,585,586","582,584,585,586"
cme_day,2026-09-01,4,0,4,0,-381.5,-95.375,-137.6086701183625,-53.14132988163749,4,0.0,0.0,0.48990002040399916,0,,,11.801491666666667,15.297641666666667,25.270904166666668,1,NO VERDICT: n<30,"587,588,589,590",
cme_day,2026-09-02,1,0,1,0,-140.0,-140.0,,,1,0.0,0.0,0.7934567085261071,1,-1.0,-1.0,15.5175,15.5175,15.5175,1,NO VERDICT: n<30,591,591
machine_regime,UNMEASURABLE,58,18,38,2,-466.4285719999971,-8.041871931034432,-35.03709072764657,18.953346865577707,56,0.32142857142857145,0.21400827887722296,0.4517760584399611,9,0.24837546359850868,0.2556390977443609,12.2754125,25.64085,56.30422083333333,12,descriptive; no demonstrated positive edge,"521,522,523,524,525,526,527,528,529,531,532,533,534,535,536,537,538,540,541,542,543,544,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,567,568,569,570,575,578,581,582,583,584,585,586,587,588,589,590,591","568,570,575,578,582,584,585,586,591"
regime_asof_sensitivity,UNMEASURABLE,57,18,37,2,-326.4285719999971,-5.726817052631528,-32.80898898701473,21.35535488175167,55,0.32727272727272727,0.21812895688825165,0.45897023823900523,8,0.40442239654832224,0.3178780284043442,12.22825,25.967683333333333,56.60373333333333,11,descriptive; no demonstrated positive edge,"521,522,523,524,525,526,527,528,529,531,532,533,534,535,536,537,538,540,541,542,543,544,547,548,549,550,551,552,553,554,555,556,557,558,559,560,561,562,563,564,565,567,568,569,570,575,578,581,582,583,584,585,586,587,588,589,590","568,570,575,578,582,584,585,586"
regime_asof_sensitivity,up/NORMAL,1,0,1,0,-140.0,-140.0,,,1,0.0,0.0,0.7934567085261071,1,-1.0,-1.0,15.5175,15.5175,15.5175,1,NO VERDICT: n<30,591,591
day_type,balance,23,6,17,0,-736.4285719999971,-32.018633565217264,-69.89095737095442,5.853690240519903,23,0.2608695652173913,0.1254844588924897,0.4647039054375056,4,-0.20493444666943741,-0.3721804511278195,12.431799999999999,18.376083333333334,46.04284166666667,11,NO VERDICT: n<30,"521,522,523,525,526,527,531,540,541,554,561,563,564,567,568,569,570,578,581,588,589,590,591","568,570,578,591"
day_type,balance (short-lean pullback),1,1,0,0,273.5,273.5,,,1,1.0,0.20654329147389294,1.0,0,,,63.262033333333335,63.262033333333335,63.262033333333335,1,NO VERDICT: n<30,524,
day_type,trend,17,6,10,1,321.0,18.88235294117647,-32.61186047209845,70.3765663544514,16,0.375,0.18480982554752803,0.6135935290206519,3,1.225,2.2083333333333335,12.4169,33.84206666666667,45.95536666666667,7,NO VERDICT: n<30,"532,533,548,550,551,552,555,556,557,558,559,560,565,582,584,586,587","582,584,586"
day_type,trend-down,13,3,9,1,-537.5,-41.34615384615385,-79.90187805195148,-2.7904296403562014,12,0.25,0.08894003962896137,0.53231033912066,2,-0.3099415204678363,-0.3099415204678363,12.22825,21.70805,70.50166666666667,5,NO VERDICT: n<30,"534,535,536,537,538,542,543,544,547,562,575,583,585","575,585"
