case,open_time_ms,o,h,l,c
leg3_LONDON_v1_S2,1788506520000,29617.0,29620.25,29614.25,29617.75
leg3_LONDON_v1_S2,1788506580000,29617.75,29618.75,29613.5,29615.25
leg3_LONDON_v1_S2,1788506640000,29615.25,29619.0,29615.0,29617.25
leg3_LONDON_v1_S2,1788506700000,29617.25,29618.0,29611.75,29612.25
leg3_LONDON_v1_S2,1788506760000,29612.25,29613.5,29608.75,29613.0
leg3_LONDON_v1_S2,1788506820000,29613.0,29633.75,29611.5,29632.0
leg3_LONDON_v1_S2,1788506880000,29631.75,29634.5,29631.0,29632.0
leg3_LONDON_v1_S2,1788506940000,29632.0,29637.25,29631.25,29636.25
leg3_LONDON_v1_S2,1788507000000,29635.5,29641.5,29634.0,29637.5
leg3_NY_v3_S1,1788530580000,29669.25,29678.0,29657.25,29673.5
leg3_NY_v3_S1,1788530640000,29672.75,29674.0,29661.5,29668.5
leg3_NY_v3_S1,1788530700000,29668.25,29675.75,29661.0,29662.25
leg3_NY_v3_S1,1788530760000,29662.5,29674.5,29655.25,29674.0
leg3_NY_v3_S1,1788530820000,29673.75,29674.5,29647.5,29651.75
leg3_NY_v3_S1,1788530880000,29651.0,29657.75,29645.25,29653.75
leg3_NY_v3_S1,1788530940000,29653.25,29658.75,29641.0,29644.25
leg3_NY_v3_S1,1788531000000,29644.75,29654.5,29629.0,29630.5
leg3_NY_v3_S1,1788531060000,29630.5,29638.0,29623.75,29626.5
leg3_NY_v3_S1,1788531120000,29626.5,29626.5,29594.0,29606.25
leg3_NY_v3_S1,1788531180000,29606.25,29623.5,29600.0,29622.5
leg3_NY_v3_S1,1788531240000,29621.75,29652.5,29621.0,29648.25
leg3_NY_v3_S1,1788531300000,29648.25,29649.75,29627.0,29634.5
leg3_NY_v3_S1,1788531360000,29634.25,29642.5,29619.25,29620.75
leg3_NY_v3_S1,1788531420000,29620.5,29631.5,29614.25,29618.0
leg3_NY_v3_S1,1788531480000,29618.25,29631.0,29612.75,29621.75
leg3_NY_v3_S1,1788531540000,29621.5,29624.0,29600.0,29601.25
leg3_NY_v3_S1,1788531600000,29601.5,29606.25,29579.25,29588.5
leg3_NY_v3_S1,1788531660000,29588.75,29608.5,29586.5,29606.25
leg3_NY_v3_S1,1788531720000,29607.0,29612.5,29591.0,29609.5
leg3_NY_v3_S1,1788531780000,29610.0,29610.5,29600.5,29609.25
leg3_NY_v3_S1,1788531840000,29609.0,29609.5,29587.25,29596.0
leg3_NY_v3_S1,1788531900000,29595.5,29602.75,29583.5,29585.5
leg3_NY_v3_S1,1788531960000,29585.5,29588.25,29564.0,29578.5
leg3_NY_v3_S1,1788532020000,29578.5,29586.0,29576.0,29577.0
leg3_NY_v3_S1,1788532080000,29577.0,29592.0,29567.0,29589.5
leg3_NY_v3_S1,1788532140000,29589.25,29598.75,29585.25,29595.75
leg3_NY_v3_S1,1788532200000,29596.0,29598.25,29567.75,29567.75
leg3_NY_v3_S1,1788532260000,29568.25,29571.5,29554.75,29564.25
leg3_NY_v3_S1,1788532320000,29564.25,29579.0,29562.0,29576.5
leg3_NY_v3_S1,1788532380000,29576.0,29584.75,29563.0,29567.5
leg3_NY_v3_S1,1788532440000,29568.0,29569.75,29554.75,29559.0
leg3_NY_v3_S1,1788532500000,29559.25,29574.25,29558.0,29571.5
leg3_NY_v3_S1,1788532560000,29571.5,29587.25,29567.0,29582.75
leg3_NY_v3_S1,1788532620000,29582.5,29590.0,29566.75,29582.5
leg3_NY_v3_S1,1788532680000,29583.5,29589.25,29575.25,29578.5
leg3_NY_v3_S1,1788532740000,29578.5,29588.0,29571.75,29588.0
leg3_NY_v3_S1,1788532800000,29587.75,29587.75,29568.25,29570.75
leg3_NY_v3_S1,1788532860000,29571.0,29577.25,29562.0,29572.75
leg3_NY_v3_S1,1788532920000,29572.75,29574.5,29541.75,29545.5
leg3_NY_v3_S1,1788532980000,29545.25,29547.5,29531.25,29533.75
leg3_NY_v3_S1,1788533040000,29533.75,29541.25,29530.0,29533.5
leg3_NY_v3_S1,1788533100000,29533.0,29544.25,29527.75,29532.25
leg3_NY_v3_S1,1788533160000,29532.75,29540.75,29529.75,29540.5
leg3_NY_v3_S1,1788533220000,29539.75,29540.25,29525.25,29533.75
leg3_NY_v3_S1,1788533280000,29533.5,29539.75,29519.0,29525.5
leg3_NY_v3_S1,1788533340000,29524.75,29527.75,29510.0,29511.0
leg3_NY_v3_S1,1788533400000,29510.5,29526.5,29509.5,29523.5
leg3_NY_v3_S1,1788533460000,29523.75,29535.5,29522.0,29524.5
leg3_NY_v3_S1,1788533520000,29524.25,29528.25,29514.75,29525.5
leg3_NY_v3_S1,1788533580000,29525.5,29532.0,29519.0,29520.5
leg3_NY_v3_S1,1788533640000,29520.75,29525.0,29509.0,29516.75
leg3_NY_v3_S1,1788533700000,29516.25,29526.5,29510.0,29521.25
leg3_NY_v3_S1,1788533760000,29520.75,29524.0,29498.5,29500.5
