id,plan_id,version,session,scenario,rule,condition,direction,entry_px,stop_px,target_px,fill_px,rr,atr5m,mfe,mae,mfe_r,mae_r,time_to_mfe_bars,time_to_resolve_bars,net_pnl,outcome,ambiguous,is_counterfactual,created_ct
112,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,4,NY,S1,1m_mss,reject,long,29144.5,29099.0,29209.25,29144.5,1.42307692307692,35.0097020547024,3.5,24.75,0.0769230769230769,0.543956043956044,1,0,-11.0,open,0,0,"2026-09-02 10:05:01"
113,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,S2,1x5m_close,reject,long,29178.25,29060.0,29209.25,29178.25,0.26215644820296,32.7380047290216,4.0,10.0,0.0338266384778013,0.0845665961945032,1,0,-1.0,open,0,0,"2026-09-02 10:25:01"
114,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,S2,2x5m_close,reject,long,29179.5,29060.0,29209.25,29179.5,0.248953974895398,32.7380047290216,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-02 10:25:01"
115,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,S2,1m_mss,reject,long,29200.25,29060.0,29209.25,29200.25,0.0641711229946524,32.821769697357,7.75,8.5,0.0552584670231729,0.0606060606060606,0,0,8.5,open,0,0,"2026-09-02 10:30:30"
116,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,5,NY,S3,1m_mss,sweep_reclaim,long,29158.25,29020.0,29143.97,29158.25,-0.103291139240498,31.9671163669125,0.0,0.0,0.0,0.0,0,0,-29.5599999999977,target,0,0,"2026-09-02 10:46:30"
117,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,NY,S4,1x5m_close,reject,short,29165.0,29348.0,29246.25,29165.0,-0.998261070189531,29.1050379511772,0.0,0.0,0.0,0.0,0,0,-116823.5,target,0,0,"2026-09-02 11:22:30"
118,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,NY,S4,2x5m_close,reject,short,29160.5,29348.0,29246.25,29160.5,-0.998260936445132,27.5452393220113,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-02 11:25:01"
119,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,7,NY,S4,1m_mss,reject,short,29138.5,29348.0,29246.25,29138.5,-0.998260282287365,26.0110196344226,0.0,0.0,0.0,0.0,0,0,-116770.5,target,0,0,"2026-09-02 11:45:01"
120,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,NY,S2,1x5m_close,reject,long,29142.0,29032.0,29161.16,29142.0,0.174181818181817,26.7788767772798,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-02 11:48:30"
121,2026-09-02:NY:8d5c8af5_8ef641a7-815c-4bb5-9798-b070b67d7998_deepseek_1781246265,8,NY,S2,2x5m_close,reject,long,29144.75,29032.0,29161.16,29144.75,0.145543237250553,25.3839570074742,0.0,0.0,0.0,0.0,0,0,0.0,open,0,0,"2026-09-02 11:50:30"
