DEDUPED seated levels (one per session-day x label x price): 985 from 47 plan-sessions

== by AI grade
key                    seats days touch% 1st:h 1st:b 1st:a p_hold1         wilson95 | all:h all:b  p_all   dist
('ONL', 'LONDON')          8    5   87.5     5     2     0   0.714 [0.359,0.918] |    33    20  0.623   44.4
('DEMAND', 'LONDON')       8    7   50.0     1     2     1   0.333 [0.061,0.792] |     7    17  0.292  112.2
('nPOC', 'ASIA')           7    6   85.7     4     1     1   0.800 [0.376,0.964] |    36    29  0.554   83.1
('IFVG', 'ASIA')           7    4   71.4     4     0     1   1.000 [0.510,1.000] |    19    14  0.576   79.4
('PDH', 'LONDON')          6    6   16.7     1     0     0   1.000 [0.207,1.000] |     3     2  0.600  268.6
('eVWAP', 'NY')            6    2   66.7     2     2     0   0.500 [0.150,0.850] |     5     5  0.500   63.6
('DEMAND', 'NY')           6    5   33.3     1     0     1   1.000 [0.207,1.000] |     8     5  0.615  140.2
('PDL', 'LONDON')          5    5   60.0     2     1     0   0.667 [0.208,0.939] |     8    10  0.444  208.8
('SUPPLY', 'LONDON')       5    5   60.0     2     1     0   0.667 [0.208,0.939] |    10     6  0.625  110.7
('POC', 'ASIA')            5    5  100.0     2     2     1   0.500 [0.150,0.850] |    15    17  0.469   46.1
