symbol,tf,open_time_ms,o,h,l,c,v
MNQ,1m,1788341160000,28965.0,28974.5,28960.5,28971.75,924.0
MNQ,1m,1788341220000,28971.25,28982.25,28971.0,28975.25,911.0
MNQ,1m,1788341280000,28975.25,28978.25,28974.0,28975.5,348.0
MNQ,1m,1788341340000,28975.0,28979.75,28974.5,28978.25,287.0
MNQ,1m,1788341400000,28978.25,28981.25,28974.75,28976.5,567.0
MNQ,1m,1788341460000,28976.25,28980.25,28957.75,28961.25,1126.0
MNQ,1m,1788341520000,28962.0,28963.0,28958.75,28958.75,499.0
MNQ,1m,1788341580000,28959.0,28959.0,28949.0,28953.5,2062.0
MNQ,1m,1788341640000,28953.0,28957.0,28950.0,28954.75,662.0
MNQ,1m,1788341700000,28953.75,28954.75,28947.75,28949.75,689.0
MNQ,1m,1788341760000,28949.5,28950.25,28940.75,28947.0,1519.0
MNQ,1m,1788341820000,28946.25,28953.25,28945.0,28949.75,746.0
MNQ,1m,1788341880000,28949.75,28958.5,28945.75,28949.75,868.0
MNQ,1m,1788341940000,28950.0,28955.25,28947.5,28949.0,437.0
MNQ,1m,1788342000000,28949.75,28955.0,28946.75,28951.5,438.0
MNQ,1m,1788342060000,28952.0,28957.75,28952.0,28957.75,358.0
MNQ,1m,1788342120000,28957.25,28958.75,28949.0,28949.0,635.0
MNQ,1m,1788342180000,28948.75,28954.5,28948.5,28952.75,318.0
MNQ,1m,1788342240000,28952.5,28954.0,28946.25,28949.0,463.0
MNQ,1m,1788342300000,28949.0,28960.0,28949.0,28953.5,699.0
MNQ,1m,1788342360000,28953.5,28953.5,28947.25,28950.0,443.0
MNQ,1m,1788342420000,28950.0,28961.5,28949.5,28954.0,640.0
MNQ,1m,1788342480000,28954.5,28961.0,28954.0,28957.75,558.0
MNQ,1m,1788342540000,28958.25,28960.75,28954.0,28956.75,394.0
MNQ,1m,1788342600000,28955.75,28963.0,28955.25,28962.0,407.0
MNQ,1m,1788342660000,28962.25,28963.0,28952.75,28956.0,554.0
MNQ,1m,1788342720000,28956.0,28962.25,28955.5,28959.0,403.0
MNQ,1m,1788342780000,28958.75,28967.0,28958.25,28964.5,386.0
MNQ,1m,1788342840000,28964.0,28964.0,28955.5,28958.25,448.0
MNQ,1m,1788342900000,28958.75,28962.5,28957.75,28960.0,341.0
MNQ,1m,1788342960000,28960.5,28973.0,28960.5,28967.75,1083.0
MNQ,1m,1788343020000,28968.0,28973.0,28966.5,28970.25,462.0
MNQ,1m,1788343080000,28970.5,28973.25,28966.0,28968.75,450.0
MNQ,1m,1788343140000,28969.0,28975.0,28969.0,28973.25,399.0
MNQ,1m,1788343200000,28973.25,28977.0,28970.75,28971.25,546.0
MNQ,1m,1788343260000,28970.75,28979.75,28962.75,28967.25,1130.0
MNQ,1m,1788343320000,28967.0,28967.75,28952.25,28955.25,982.0
MNQ,1m,1788343380000,28954.75,28956.5,28951.0,28954.25,592.0
MNQ,1m,1788343440000,28954.0,28955.0,28949.75,28949.75,468.0
MNQ,1m,1788343500000,28950.0,28954.75,28947.25,28950.75,603.0
MNQ,1m,1788343560000,28951.0,28954.75,28948.25,28953.5,413.0
MNQ,1m,1788343620000,28953.5,28958.75,28953.5,28955.5,571.0
MNQ,1m,1788343680000,28954.75,28958.25,28952.25,28954.0,391.0
MNQ,1m,1788343740000,28954.0,28960.5,28952.5,28952.75,370.0
MNQ,1m,1788343800000,28953.25,28957.75,28951.5,28954.0,309.0
MNQ,1m,1788343860000,28954.0,28964.0,28953.5,28959.5,514.0
MNQ,1m,1788343920000,28959.75,28960.0,28952.75,28959.25,363.0
MNQ,1m,1788343980000,28959.25,28975.25,28955.25,28973.75,992.0
MNQ,1m,1788344040000,28973.5,28978.75,28972.25,28978.75,588.0
MNQ,1m,1788344100000,28978.75,28983.0,28975.25,28981.25,968.0
MNQ,1m,1788344160000,28981.5,28981.75,28971.0,28979.25,582.0
MNQ,1m,1788344220000,28979.5,28981.5,28977.0,28981.0,371.0
MNQ,1m,1788344280000,28982.0,28982.0,28975.25,28975.5,215.0
MNQ,1m,1788344340000,28975.5,28979.25,28973.75,28976.75,326.0
MNQ,1m,1788344400000,28977.0,28980.5,28975.75,28978.5,256.0
MNQ,1m,1788344460000,28979.0,28983.0,28976.5,28980.75,480.0
MNQ,1m,1788344520000,28980.75,28984.5,28977.0,28979.75,437.0
MNQ,1m,1788344580000,28980.0,28981.25,28972.75,28973.5,313.0
MNQ,1m,1788344640000,28974.0,28978.0,28970.75,28976.25,446.0
MNQ,1m,1788344700000,28976.25,28988.75,28976.25,28986.75,671.0
MNQ,1m,1788344760000,28986.0,28995.5,28979.0,28988.25,1541.0
