ts_ct,session,event,reason,plan_version_in_force,plan_age_min,move_pts_15m,evidence
2026-09-02 11:24:30,NY,skipped,min_interval,2026-09-02:NY v7,4.2,-34.25,09-02 11:24:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29186.25 below 29246.25 (noise 7.76) on NY 2026-09-02 — SKIPPED: 9m elapsed < wake_min_interval_min (30m).
2026-09-02 11:25:00,NY,skipped,min_interval,2026-09-02:NY v7,4.7,-34.25,09-02 11:25:00 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29186.25 below 29246.25 (noise 7.76) on NY 2026-09-02 — SKIPPED: 10m elapsed < wake_min_interval_min (30m).
2026-09-02 11:26:30,NY,skipped,min_interval,2026-09-02:NY v7,6.2,-34.25,09-02 11:26:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29186.25 below 29246.25 (noise 7.76) on NY 2026-09-02 — SKIPPED: 11m elapsed < wake_min_interval_min (30m).
2026-09-02 11:28:30,NY,skipped,min_interval,2026-09-02:NY v7,8.2,-34.25,09-02 11:28:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29186.25 below 29246.25 (noise 7.88) on NY 2026-09-02 — SKIPPED: 13m elapsed < wake_min_interval_min (30m).
2026-09-02 11:30:30,NY,skipped,min_interval,2026-09-02:NY v7,10.2,-13.25,09-02 11:30:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29152.25 below 29246.25 (noise 7.43) on NY 2026-09-02 — SKIPPED: 15m elapsed < wake_min_interval_min (30m).
2026-09-02 11:32:30,NY,skipped,min_interval,2026-09-02:NY v7,12.2,-13.25,09-02 11:32:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29152.25 below 29246.25 (noise 7.62) on NY 2026-09-02 — SKIPPED: 17m elapsed < wake_min_interval_min (30m).
2026-09-02 11:34:30,NY,skipped,min_interval,2026-09-02:NY v7,14.2,-13.25,09-02 11:34:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29152.25 below 29246.25 (noise 7.64) on NY 2026-09-02 — SKIPPED: 19m elapsed < wake_min_interval_min (30m).
2026-09-02 11:35:00,NY,skipped,min_interval,2026-09-02:NY v7,14.7,-13.25,09-02 11:35:00 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29152.25 below 29246.25 (noise 7.64) on NY 2026-09-02 — SKIPPED: 20m elapsed < wake_min_interval_min (30m).
2026-09-02 11:36:30,NY,skipped,min_interval,2026-09-02:NY v7,16.2,-13.25,09-02 11:36:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29152.25 below 29246.25 (noise 7.64) on NY 2026-09-02 — SKIPPED: 21m elapsed < wake_min_interval_min (30m).
2026-09-02 11:38:30,NY,skipped,min_interval,2026-09-02:NY v7,18.2,-13.25,09-02 11:38:30 🗓️ level wake seated OB(bull)·4h (HTF) invalidated: close 29152.25 below 29246.25 (noise 7.64) on NY 2026-09-02 — SKIPPED: 23m elapsed < wake_min_interval_min (30m).
